Pacote ID;Pacote Nome;Item Contratual;Descrição Item;Unid Item;Coef;Unid Coef;Tipo;Item Planilha
P37A;Muros B e C — 1. Escavação e fundação;04-01-00;Escavação manual p/ fundações e valas (h ≤ 1,50 m);M3;3,39366;m³/ML;Manual;169
P37A;Muros B e C — 1. Escavação e fundação;04-11-00;Escavação mecânica, carga e remoção até 1,0 km;M3;7,91853;m³/ML;Manual;169-A
P37A;Muros B e C — 1. Escavação e fundação;04-15-00;Carga e remoção de terra até 1,0 km;M3;11,3122;m³/ML;Manual;170
P37A;Muros B e C — 1. Escavação e fundação;04-60-00;Remoção de terra além do 1º km;M3XKM;366,628;m³xkm/ML;Manual;171
P37A;Muros B e C — 1. Escavação e fundação;05.09.007;Taxa de destinação de resíduo sólido em aterro;M3;7,91853;m³/ML;Manual;172
P37A;Muros B e C — 1. Escavação e fundação;05-20-00;Fundação de rachão;M3;0,93642;m³/ML;Manual;177-B
P37A;Muros B e C — 1. Escavação e fundação;05-48-00;Base de brita graduada;M3;0,187284;m³/ML;Manual;177-A
P37A;Muros B e C — 1. Escavação e fundação;06-06-00;Lastro de concreto FCK = 10 MPa;M3;0,187284;m³/ML;Manual;174
P37B;Muros B e C — 2. Sapata (base);07-10-00;Aço CA-50 — diâmetro ≥ 1/2";KG;22,4501;kg/ML;Manual;176
P37B;Muros B e C — 2. Sapata (base);07-09-00;Aço CA-50 — diâmetro < 1/2";KG;26,3874;kg/ML;Manual;177-C
P37B;Muros B e C — 2. Sapata (base);03-03-20;Concreto FCK = 30 MPa — usinado;M3;0,435917;m³/ML;Manual;177
P37C;Muros B e C — 3. Fuste (parede);02-03-01;Forma comum de tábuas de pinus;M2;4,35136;m²/ML;Manual;175
P37C;Muros B e C — 3. Fuste (parede);07-10-00;Aço CA-50 — diâmetro ≥ 1/2";KG;35,041;kg/ML;Manual;176
P37C;Muros B e C — 3. Fuste (parede);07-09-00;Aço CA-50 — diâmetro < 1/2";KG;41,1865;kg/ML;Manual;177-C
P37C;Muros B e C — 3. Fuste (parede);03-03-20;Concreto FCK = 30 MPa — usinado;M3;0,680396;m³/ML;Manual;177
P37C;Muros B e C — 3. Fuste (parede);08-18-02;Cimbramento metálico de altura maior que 3,00 m;M3;1,1479;m³/ML;Manual;177-H
